epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202051,2020-12-15,258,SP,Franca,3516200,city,7267,2041.85996,19,221,0,0.0304,355901,False,False
202051,2020-12-15,260,SP,Franco da Rocha,3516408,city,3305,2111.92904,9,135,1,0.0408,156492,False,False
202051,2020-12-14,257,SP,Franca,3516200,city,7248,2036.52139,0,221,0,0.0305,355901,False,False
202051,2020-12-14,259,SP,Franco da Rocha,3516408,city,3296,2106.17795,2,134,0,0.0407,156492,False,False
202051,2020-12-13,256,SP,Franca,3516200,city,7248,2036.52139,0,221,0,0.0305,355901,False,False
202051,2020-12-13,258,SP,Franco da Rocha,3516408,city,3294,2104.89993,0,134,0,0.0407,156492,False,False
202050,2020-12-12,255,SP,Franca,3516200,city,7248,2036.52139,36,221,3,0.0305,355901,False,False
202050,2020-12-12,257,SP,Franco da Rocha,3516408,city,3294,2104.89993,0,134,0,0.0407,156492,False,False
202050,2020-12-11,254,SP,Franca,3516200,city,7212,2026.40622,22,218,0,0.0302,355901,False,False
202050,2020-12-11,256,SP,Franco da Rocha,3516408,city,3294,2104.89993,13,134,0,0.0407,156492,False,False
202050,2020-12-10,253,SP,Franca,3516200,city,7190,2020.22473,33,218,2,0.0303,355901,False,False
202050,2020-12-10,255,SP,Franco da Rocha,3516408,city,3281,2096.5928,24,134,0,0.0408,156492,False,False
202050,2020-12-09,252,SP,Franca,3516200,city,7157,2010.95248,1,216,1,0.0302,355901,False,False
202050,2020-12-09,254,SP,Franco da Rocha,3516408,city,3257,2081.25655,14,134,0,0.0411,156492,False,False
202050,2020-12-08,251,SP,Franca,3516200,city,7156,2010.67151,-1,215,0,0.03,355901,False,False
202050,2020-12-08,253,SP,Franco da Rocha,3516408,city,3243,2072.31041,10,134,0,0.0413,156492,False,False
202050,2020-12-07,250,SP,Franca,3516200,city,7157,2010.95248,1,215,0,0.03,355901,False,False
202050,2020-12-07,252,SP,Franco da Rocha,3516408,city,3233,2065.9203,1,134,0,0.0414,156492,False,False
202050,2020-12-06,249,SP,Franca,3516200,city,7156,2010.67151,0,215,0,0.03,355901,False,False
202050,2020-12-06,251,SP,Franco da Rocha,3516408,city,3232,2065.28129,1,134,0,0.0415,156492,False,False
